dataset,template,concept_type,concept_primary,concept_tags,concept_confidence_mean,concept_source_mode,bucket_size,label_coverage,one_shot_status,global_one_shot_acc,global_one_shot_macro_f1,global_one_shot_status,global_label_coverage,zero_shot_acc,zero_shot_macro_f1,one_shot_acc,one_shot_macro_f1
snli_dev_holdout,base,negation,negation,negation|action|count,0.7429653673730513,rule,22,3,ok,0.43420174717903137,0.4296712138814865,ok,3,0.5454545617103577,0.4142857139071428,0.6315789222717285,0.4399999996408
snli_dev_holdout,base,count,count,count|spatial|action,0.8896365715408528,rule,66,3,ok,0.43420174717903137,0.4296712138814865,ok,3,0.43939393758773804,0.4202809764073112,0.3174603283405304,0.28999674129152075
snli_dev_holdout,base,spatial,spatial,spatial|action|count,0.8822976664919461,rule,70,3,ok,0.43420174717903137,0.4296712138814865,ok,3,0.30000001192092896,0.30254317241823586,0.34328359365463257,0.3403950122920698
snli_dev_holdout,base,action,action,action|count|spatial,0.9184287057183373,rule,1001,3,ok,0.43420174717903137,0.4296712138814865,ok,3,0.4535464644432068,0.4360487218215801,0.4078156352043152,0.379165165246755
snli_dev_holdout,base,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999999,rule,341,3,ok,0.43420174717903137,0.4296712138814865,ok,3,0.4046920835971832,0.401540917367286,0.3786982297897339,0.35632733072149964
snli_dev_holdout,low_specificity,negation,negation,negation|action|count,0.7429653673730513,rule,22,3,ok,0.39345356822013855,0.3474501815900887,ok,3,0.13636364042758942,0.14537037004895317,0.05263157933950424,0.035087719261311164
snli_dev_holdout,low_specificity,count,count,count|spatial|action,0.8896365715408528,rule,66,3,ok,0.39345356822013855,0.3474501815900887,ok,3,0.5909090638160706,0.4768091163217912,0.60317462682724,0.5420888049821991
snli_dev_holdout,low_specificity,spatial,spatial,spatial|action|count,0.8822976664919461,rule,70,3,ok,0.39345356822013855,0.3474501815900887,ok,3,0.48571428656578064,0.3797508076409481,0.49253731966018677,0.38526968475451184
snli_dev_holdout,low_specificity,action,action,action|count|spatial,0.9184287057183373,rule,1001,3,ok,0.39345356822013855,0.3474501815900887,ok,3,0.39660340547561646,0.3585923865528932,0.4018036127090454,0.34469880445051776
snli_dev_holdout,low_specificity,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999999,rule,341,3,ok,0.39345356822013855,0.3474501815900887,ok,3,0.3812316656112671,0.34118070768363756,0.30177515745162964,0.24831482524330817
snli_dev_holdout,high_specificity,negation,negation,negation|action|count,0.7429653673730513,rule,22,3,ok,0.30260521173477173,0.2923600487860713,ok,3,0.27272728085517883,0.2545454542155372,0.10526315867900848,0.11574074053186086
snli_dev_holdout,high_specificity,count,count,count|spatial|action,0.8896365715408528,rule,66,3,ok,0.30260521173477173,0.2923600487860713,ok,3,0.5909090638160706,0.5301077453468814,0.4920634925365448,0.36980329579549515
snli_dev_holdout,high_specificity,spatial,spatial,spatial|action|count,0.8822976664919461,rule,70,3,ok,0.30260521173477173,0.2923600487860713,ok,3,0.48571428656578064,0.3922325097791299,0.16417910158634186,0.11956181518585651
snli_dev_holdout,high_specificity,action,action,action|count|spatial,0.9184287057183373,rule,1001,3,ok,0.30260521173477173,0.2923600487860713,ok,3,0.4035964012145996,0.38450299152841955,0.3527054190635681,0.265425106103592
snli_dev_holdout,high_specificity,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999999,rule,341,3,ok,0.30260521173477173,0.2923600487860713,ok,3,0.3372434079647064,0.3085269917609972,0.3136094808578491,0.24044555102102513
snli_dev_holdout,concept_framing,negation,negation,negation|action|count,0.7429653673730513,rule,22,3,ok,0.37074148654937744,0.3625975000878569,ok,3,0.3636363744735718,0.23344556643985684,0.3684210479259491,0.42857142800491294
snli_dev_holdout,concept_framing,count,count,count|spatial|action,0.8896365715408528,rule,66,3,ok,0.37074148654937744,0.3625975000878569,ok,3,0.5,0.47008546958733327,0.5079365372657776,0.48250930305594614
snli_dev_holdout,concept_framing,spatial,spatial,spatial|action|count,0.8822976664919461,rule,70,3,ok,0.37074148654937744,0.3625975000878569,ok,3,0.3142857253551483,0.27244193299782987,0.41791045665740967,0.331917595239776
snli_dev_holdout,concept_framing,action,action,action|count|spatial,0.9184287057183373,rule,1001,3,ok,0.37074148654937744,0.3625975000878569,ok,3,0.42457541823387146,0.39877695651082795,0.43787574768066406,0.41569100128510245
snli_dev_holdout,concept_framing,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999999,rule,341,3,ok,0.37074148654937744,0.3625975000878569,ok,3,0.4222874045372009,0.3842009052913962,0.32248520851135254,0.27240261113645103
snli_dev_holdout,negation_explicit,negation,negation,negation|action|count,0.7429653673730513,rule,22,3,ok,0.4094856381416321,0.4043645267958024,ok,3,0.27272728085517883,0.21296296262217077,0.42105263471603394,0.24999999969328704
snli_dev_holdout,negation_explicit,count,count,count|spatial|action,0.8896365715408528,rule,66,3,ok,0.4094856381416321,0.4043645267958024,ok,3,0.6060606241226196,0.5544576446058282,0.4126984179019928,0.4020531397176768
snli_dev_holdout,negation_explicit,spatial,spatial,spatial|action|count,0.8822976664919461,rule,70,3,ok,0.4094856381416321,0.4043645267958024,ok,3,0.4571428596973419,0.39933166198019504,0.5223880410194397,0.3267540828312537
snli_dev_holdout,negation_explicit,action,action,action|count|spatial,0.9184287057183373,rule,1001,3,ok,0.4094856381416321,0.4043645267958024,ok,3,0.41558441519737244,0.40908839791388313,0.36873748898506165,0.30266281746038615
snli_dev_holdout,negation_explicit,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999999,rule,341,3,ok,0.4094856381416321,0.4043645267958024,ok,3,0.35777124762535095,0.3517251592706305,0.38165679574012756,0.19495708951337828
snli_test_holdout,base,negation,negation,negation|action|count,0.7224310771433755,rule,19,3,ok,0.3627254366874695,0.3045159903823315,ok,3,0.5789473652839661,0.5079365073443168,0.375,0.24210526286430287
snli_test_holdout,base,count,count,count|action|spatial,0.956593404881178,rule,65,3,ok,0.3627254366874695,0.3045159903823315,ok,3,0.4153846204280853,0.4214007235716979,0.4677419364452362,0.4587079582276619
snli_test_holdout,base,spatial,spatial,spatial|action|count,0.8917674389047904,rule,72,3,ok,0.3627254366874695,0.3045159903823315,ok,3,0.4166666567325592,0.3993440713784966,0.47826087474823,0.43386047446095644
snli_test_holdout,base,action,action,action|count|spatial,0.9082951542332044,rule,986,3,ok,0.3627254366874695,0.3045159903823315,ok,3,0.4350912868976593,0.4237408498552639,0.3509664237499237,0.29452866109392734
snli_test_holdout,base,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999998,rule,358,3,ok,0.3627254366874695,0.3045159903823315,ok,3,0.3966480493545532,0.3972422883400207,0.4084506928920746,0.3283859281947518
snli_test_holdout,low_specificity,negation,negation,negation|action|count,0.7224310771433755,rule,19,3,ok,0.3059452176094055,0.24342537888702756,ok,3,0.3684210479259491,0.39444444400894674,0.25,0.19444444419791665
snli_test_holdout,low_specificity,count,count,count|action|spatial,0.956593404881178,rule,65,3,ok,0.3059452176094055,0.24342537888702756,ok,3,0.446153849363327,0.41151452560068713,0.4193548262119293,0.3098039212666955
snli_test_holdout,low_specificity,spatial,spatial,spatial|action|count,0.8917674389047904,rule,72,3,ok,0.3059452176094055,0.24342537888702756,ok,3,0.5972222089767456,0.4604065089966865,0.21739129722118378,0.1380734355409786
snli_test_holdout,low_specificity,action,action,action|count|spatial,0.9082951542332044,rule,986,3,ok,0.3059452176094055,0.24342537888702756,ok,3,0.4066937267780304,0.37575997393198285,0.4059002995491028,0.4054860211930699
snli_test_holdout,low_specificity,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999998,rule,358,3,ok,0.3059452176094055,0.24342537888702756,ok,3,0.40502792596817017,0.34058704680218016,0.25915491580963135,0.20458429312809798
snli_test_holdout,high_specificity,negation,negation,negation|action|count,0.7224310771433755,rule,19,3,ok,0.328657329082489,0.23532695284233476,ok,3,0.3684210479259491,0.40811965767602576,0.4375,0.20289855054064268
snli_test_holdout,high_specificity,count,count,count|action|spatial,0.956593404881178,rule,65,3,ok,0.328657329082489,0.23532695284233476,ok,3,0.3692307770252228,0.3355839557606653,0.4516128897666931,0.3855950808496942
snli_test_holdout,high_specificity,spatial,spatial,spatial|action|count,0.8917674389047904,rule,72,3,ok,0.328657329082489,0.23532695284233476,ok,3,0.5555555820465088,0.41547035729694115,0.4492753744125366,0.4098041284880292
snli_test_holdout,high_specificity,action,action,action|count|spatial,0.9082951542332044,rule,986,3,ok,0.328657329082489,0.23532695284233476,ok,3,0.3904665410518646,0.37214099976897025,0.3997965455055237,0.3851056975274054
snli_test_holdout,high_specificity,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999998,rule,358,3,ok,0.328657329082489,0.23532695284233476,ok,3,0.40502792596817017,0.35471516426436134,0.3408450782299042,0.3065112317768853
snli_test_holdout,concept_framing,negation,negation,negation|action|count,0.7224310771433755,rule,19,3,ok,0.3593854308128357,0.34175749251971116,ok,3,0.4736842215061188,0.3443223440049734,0.5,0.36666666632
snli_test_holdout,concept_framing,count,count,count|action|spatial,0.956593404881178,rule,65,3,ok,0.3593854308128357,0.34175749251971116,ok,3,0.4307692348957062,0.4104103283624063,0.4677419364452362,0.35747342054755965
snli_test_holdout,concept_framing,spatial,spatial,spatial|action|count,0.8917674389047904,rule,72,3,ok,0.3593854308128357,0.34175749251971116,ok,3,0.4444444477558136,0.42368082320048805,0.36231884360313416,0.38148148106557606
snli_test_holdout,concept_framing,action,action,action|count|spatial,0.9082951542332044,rule,986,3,ok,0.3593854308128357,0.34175749251971116,ok,3,0.4148072898387909,0.3941095246956137,0.41912513971328735,0.40807421052754367
snli_test_holdout,concept_framing,object_or_attribute,object_or_attribute,object_or_attribute,0.9999999989999998,rule,358,3,ok,0.3593854308128357,0.34175749251971116,ok,3,0.416201114654541,0.382988774753191,0.2985915541648865,0.2582078638406111
snli_test_holdout,negation_explicit,negation,negation,negation|action|count,0.7224310771433755,rule,19,3,ok,0.3533734083175659,0.3013947117234039,ok,3,0.21052631735801697,0.17663817636207904,0.625,0.2564102562248521
snli_test_holdout,negation_explicit,count,count,count|action|spatial,0.956593404881178,rule,65,3,ok,0.3533734083175659,0.3013947117234039,ok,3,0.4615384638309479,0.44327485328949595,0.27419355511665344,0.1793103446471472
snli_test_holdout,negation_explicit,spatial,spatial,spatial|action|count,0.8917674389047904,rule,72,3,ok,0.3533734083175659,0.3013947117234039,ok,3,0.5416666865348816,0.41107041055213095,0.21739129722118378,0.21637426874805496
